"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Work Shift Feature","3","0","","0"
"0","","0","Paysheet Feature","4","0","","0"
"0","","0","Notification Feature","9","0","","0"
"0","","0","Evaluation Process Feature","6","0","","0"
"0","","0","Leave Application Feature","6","0","","0"
"0","","0","Evaluation Type Feature","7","0","","0"
"0","","0","Evaluation Critera Feature","6","0","","0"
"0","","0","Debt Feature","12","0","","0"
"0","","0","Leave Management Feature","5","0","","0"
"0","","0","Shift Plan Feature","4","0","","0"
"0","","0","Registration Feature","3","0","","0"
"0","","0","Reward Feature","9","0","","0"
"0","","0","Login Feature","3","0","","0"
