"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31227","Create new work shift","chromium","Fri Jul 04 13:37:02 ICT 2025","passed","Fri Jul 04 13:37:34 ICT 2025","Work Shift Tests","work_shift\work_shift.spec.ts","",""
"","7783","Edit note successfully","chromium","Fri Jul 04 13:12:03 ICT 2025","passed","Fri Jul 04 13:12:11 ICT 2025","Level Test Suite","level.spec.ts","",""
"","8133","Search by branch name","chromium","Fri Jul 04 12:56:34 ICT 2025","passed","Fri Jul 04 12:56:42 ICT 2025","Branch Test","branch.spec.ts","",""
"","6977","Delete branch","chromium","Fri Jul 04 12:56:27 ICT 2025","passed","Fri Jul 04 12:56:34 ICT 2025","Branch Test","branch.spec.ts","",""
"","13075","Add annual leave already exists","chromium","Fri Jul 04 13:10:06 ICT 2025","passed","Fri Jul 04 13:10:20 ICT 2025","Leave Management Tests","leave\leave_management.spec.ts","",""
"","7817","Add new notification with event notification type","chromium","Fri Jul 04 13:14:17 ICT 2025","passed","Fri Jul 04 13:14:25 ICT 2025","Notification Test Suite","notification\notifition.spec.ts","",""
"","7933","Add new notification with urgent notification type","chromium","Fri Jul 04 13:14:55 ICT 2025","passed","Fri Jul 04 13:15:03 ICT 2025","Notification Test Suite","notification\notifition.spec.ts","",""
"","7093","Search by reward type","chromium","Fri Jul 04 13:21:39 ICT 2025","passed","Fri Jul 04 13:21:46 ICT 2025","Reward Employee Tests","reward\reward_employee.spec.ts","",""
"","14998","Test resume with full data valid information","chromium","Fri Jul 04 13:01:49 ICT 2025","passed","Fri Jul 04 13:02:04 ICT 2025","Employee Tests","employee.spec.ts","",""
"","7875","Edit active status to lock status","chromium","Fri Jul 04 13:12:11 ICT 2025","passed","Fri Jul 04 13:12:19 ICT 2025","Level Test Suite","level.spec.ts","",""
"Chỉnh sửa loại đánh giá từ trạng thái hoạt động sang trạng thái khóa.","7433","Edit activity to lock status","chromium","Fri Jul 04 13:06:31 ICT 2025","passed","Fri Jul 04 13:06:39 ICT 2025","Evaluation Type Tests","evaluation\evaluation_type.spec.ts","",""
"","7653","Add reward type with duplicate name","chromium","Fri Jul 04 13:22:25 ICT 2025","passed","Fri Jul 04 13:22:32 ICT 2025","Reward Type Tests","reward\reward_type.spec.ts","",""
"","9365","Edit branch address","chromium","Fri Jul 04 12:55:51 ICT 2025","passed","Fri Jul 04 12:56:01 ICT 2025","Branch Test","branch.spec.ts","",""
"","17082","Admin reject leave application","chromium","Fri Jul 04 13:08:09 ICT 2025","passed","Fri Jul 04 13:08:26 ICT 2025","Leave Application Tests","leave\leave_application.spec.ts","",""
"","6806","Edit code with blank code","chromium","Fri Jul 04 13:13:08 ICT 2025","passed","Fri Jul 04 13:13:15 ICT 2025","Level Test Suite","level.spec.ts","",""
"","6845","Add Paysheet With All Employees","chromium","Fri Jul 04 13:33:13 ICT 2025","passed","Fri Jul 04 13:33:19 ICT 2025","Paysheet Tests","salary\paysheet.spec.ts","",""
"","8057","Create term with valid data","chromium","Fri Jul 04 12:57:53 ICT 2025","passed","Fri Jul 04 12:58:01 ICT 2025","Term Tests","contract\term.spec.ts","",""
"","23559","Add annual leave for a employee and manager browsed","chromium","Fri Jul 04 13:07:26 ICT 2025","passed","Fri Jul 04 13:07:50 ICT 2025","Leave Application Tests","leave\leave_application.spec.ts","",""
"","23202","Add annual leave for a department","chromium","Fri Jul 04 13:10:41 ICT 2025","passed","Fri Jul 04 13:11:04 ICT 2025","Leave Management Tests","leave\leave_management.spec.ts","",""
"","7062","Create term with empty content","chromium","Fri Jul 04 12:57:46 ICT 2025","passed","Fri Jul 04 12:57:53 ICT 2025","Term Tests","contract\term.spec.ts","",""
"","6996","Delete notification","chromium","Fri Jul 04 13:15:28 ICT 2025","passed","Fri Jul 04 13:15:35 ICT 2025","Notification Test Suite","notification\notifition.spec.ts","",""
"","8543","Add Reward Type with lock status","chromium","Fri Jul 04 13:22:32 ICT 2025","passed","Fri Jul 04 13:22:41 ICT 2025","Reward Type Tests","reward\reward_type.spec.ts","",""
"","7856","Edit name successfully","chromium","Fri Jul 04 13:12:28 ICT 2025","passed","Fri Jul 04 13:12:36 ICT 2025","Level Test Suite","level.spec.ts","",""
"","9282","Manager create reward with approved status","chromium","Fri Jul 04 13:20:27 ICT 2025","passed","Fri Jul 04 13:20:36 ICT 2025","Reward Employee Tests","reward\reward_employee.spec.ts","",""
"","9873","Create with duplicate branch name","chromium","Fri Jul 04 12:53:59 ICT 2025","passed","Fri Jul 04 12:54:09 ICT 2025","Branch Test","branch.spec.ts","",""
"","9680","Add with duplicate employee code and email","chromium","Fri Jul 04 13:03:20 ICT 2025","passed","Fri Jul 04 13:03:30 ICT 2025","Employee Tests","employee.spec.ts","",""
"","8876","Edit activity status to lock","chromium","Fri Jul 04 13:22:57 ICT 2025","passed","Fri Jul 04 13:23:05 ICT 2025","Reward Type Tests","reward\reward_type.spec.ts","",""
"Tạo loại đánh giá với mô tả để trống và kiểm tra tồn tại trong database.","7908","Add evaluation type with empty description","chromium","Fri Jul 04 13:06:23 ICT 2025","passed","Fri Jul 04 13:06:31 ICT 2025","Evaluation Type Tests","evaluation\evaluation_type.spec.ts","",""
