"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Branch Feature","29","0","","0"
"0","API Testing","0","Paysheet Management","1","0","Cancel paysheet with no reason","0"
"0","","0","Contract Feature","20","0","","0"
"0","API Testing","1","Authentication","0","0","Login with valid credentials","0"
"0","","0","Salary Calculation Feature","1","0","Calculate tax with 1 dependents Story","0"
"0","API Testing","0","Paysheet Management","1","0","Cancel paysheet","0"
"0","","0","","1","0","Calculate salary with 1 day leave Story","0"
"0","","0","Term Feature","4","0","","0"
"0","API Testing","0","Paysheet Management","1","0","Create new paysheet","0"
"0","","0","","1","0","Calculate tax with 2 dependents Story","0"
"0","API Testing","1","Authentication","0","0","Login with invalid credentials","0"
"0","","0","","1","0","Calculate salary with 1 day regular leave Story","0"
"0","","0","","1","0","Calculate tax with dependents expired Story","0"
"0","","0","","2","0","","0"
"0","","1","","0","0","Calculate tax with 1 dependents Story","0"
"0","","0","","1","0","Calculate tax with dependents not yet effective Story","0"
